"File","Lines"
"C:\Users\USER\Desktop\EMS\client\src\pages\ComplaintBoxPage.tsx","1166"
"C:\Users\USER\Desktop\EMS\client\src\pages\AuditsPage.tsx","1139"
"C:\Users\USER\Desktop\EMS\client\src\pages\PublicReportBoxPage.tsx","951"
"C:\Users\USER\Desktop\EMS\client\src\data\mock.ts","796"
"C:\Users\USER\Desktop\EMS\client\src\app\components\ui\sidebar.tsx","733"
"C:\Users\USER\Desktop\EMS\client\src\pages\AuditCalendarPage.tsx","705"
"C:\Users\USER\Desktop\EMS\client\src\pages\ChemicalsPage.tsx","527"
"C:\Users\USER\Desktop\EMS\client\src\pages\SdsPage.tsx","517"
"C:\Users\USER\Desktop\EMS\client\src\pages\UtilitiesPage.tsx","430"
"C:\Users\USER\Desktop\EMS\client\src\app\components\ui\chart.tsx","353"
"C:\Users\USER\Desktop\EMS\client\src\pages\DashboardPage.tsx","326"
"C:\Users\USER\Desktop\EMS\client\src\pages\WastewaterPage.tsx","301"
"C:\Users\USER\Desktop\EMS\client\src\pages\IncidentsPage.tsx","288"
"C:\Users\USER\Desktop\EMS\client\src\pages\settings\SettingsHomePage.tsx","286"
"C:\Users\USER\Desktop\EMS\client\src\data\audit-templates.ts","285"
"C:\Users\USER\Desktop\EMS\client\src\app\components\ui\menubar.tsx","276"
"C:\Users\USER\Desktop\EMS\client\src\types\ems.ts","271"
"C:\Users\USER\Desktop\EMS\client\src\pages\WastePage.tsx","270"
"C:\Users\USER\Desktop\EMS\client\src\pages\settings\modules\UsersModule.tsx","258"
"C:\Users\USER\Desktop\EMS\client\src\app\components\ui\dropdown-menu.tsx","257"
"C:\Users\USER\Desktop\EMS\client\src\pages\NotificationsPage.tsx","253"
"C:\Users\USER\Desktop\EMS\client\src\app\components\ui\context-menu.tsx","252"
"C:\Users\USER\Desktop\EMS\client\src\pages\FacilityDashboardPage.tsx","243"
"C:\Users\USER\Desktop\EMS\client\src\app\components\ui\carousel.tsx","241"
"C:\Users\USER\Desktop\EMS\client\src\components\VoiceMessage.tsx","232"
"C:\Users\USER\Desktop\EMS\client\src\pages\settings\modules\EmployeesModule.tsx","228"
"C:\Users\USER\Desktop\EMS\client\src\pages\settings\modules\RolesModule.tsx","227"
"C:\Users\USER\Desktop\EMS\client\src\data\admin.ts","215"
"C:\Users\USER\Desktop\EMS\client\src\app\components\ui\select.tsx","189"
"C:\Users\USER\Desktop\EMS\client\src\app\components\ui\command.tsx","177"
"C:\Users\USER\Desktop\EMS\client\src\app\components\ui\form.tsx","168"
"C:\Users\USER\Desktop\EMS\client\src\app\components\ui\navigation-menu.tsx","168"
"C:\Users\USER\Desktop\EMS\client\src\layouts\AppTopbar.tsx","164"
"C:\Users\USER\Desktop\EMS\client\src\app\components\ui\alert-dialog.tsx","157"
